KEY, volume, high, at, last, quote_unit, low, sell, buy, name, type, base_unit, open, 
yfiwrx, 0.790678, 22507.0, 1635955793, 20275.0, wrx, 16896.0, 20700.0, 20320.0, YFI/WRX, SPOT, yfi, 22507.0, 
ksminr, 295.917, 35499.98, 1635955792, 34416.18, inr, 33000.0, 35120.0, 34416.19, KSM/INR, SPOT, ksm, 34499.98, 
cotiusdt, 201194.8, 0.6335, 1635955793, 0.58189, usdt, 0.56003, 0.58189, 0.57941, COTI/USDT, SPOT, coti, 0.62803, 
flowusdt, 704.48, 14.52, 1635955793, 13.86, usdt, 13.6, 13.87, 13.85, FLOW/USDT, SPOT, flow, 14.52, 
neousdt, 311.909, 47.41, 1635955793, 45.88, usdt, 44.7, 46.22, 45.87, NEO/USDT, SPOT, neo, 46.63, 
phainr, 734600.34, 73.759, 1635955792, 66.102, inr, 63.1, 66.654, 66.105, PHA/INR, SPOT, pha, 69.7, 
sandusdt, 713713.0, 3.426899, 1635955793, 3.2, usdt, 2.520001, 3.217399, 3.192401, SAND/USDT, SPOT, sand, 2.6442, 
datausdt, 2131746.0, 0.1869, 1635955793, 0.16201, usdt, 0.13901, 0.16279, 0.16201, DATA/USDT, SPOT, data, 0.14171, 
kavausdt, 9616.66, 6.45, 1635955793, 5.918, usdt, 5.8, 6.12, 5.925, KAVA/USDT, SPOT, kava, 6.246, 
rlcusdt, 55442.14, 7.0, 1635955793, 5.007, usdt, 4.6499, 5.034, 4.985, RLC/USDT, SPOT, rlc, 5.121, 
ltcinr, 1925.146, 16399.99, 1635955792, 15994.99, inr, 15400.0, 15995.0, 15994.99, LTC/INR, SPOT, ltc, 15799.0, 
maskusdt, 3973.6, 14.1, 1635955793, 13.301, usdt, 10.796, 13.4, 13.301, MASK/USDT, SPOT, mask, 12.185, 
eosinr, 63619.33, 384.43, 1635955791, 368.07, inr, 355.11, 368.01, 365.51, EOS/INR, SPOT, eos, 370.99, 
polyinr, 747619.0, 55.701, 1635955791, 54.492, inr, 54.11, 54.694, 54.491, POLY/INR, SPOT, poly, 55.05, 
hotusdt, 21292384.0, 0.014211, 1635955792, 0.01326, usdt, 0.0126999, 0.0133419, 0.01326, HOT/USDT, SPOT, hot, 0.0137903, 
omgbtc, 42.31, 0.000239, 1635955792, 0.000227, btc, 0.000227, 0.000231, 0.000226, OMG/BTC, SPOT, omg, 0.000237, 
glmusdt, 11300.0, 0.5299, 1635955793, 0.5299, usdt, 0.4801, 0.5299, 0.51, GLM/USDT, SPOT, glm, 0.51, 
busdusdt, 86323.79, 1.0016, 1635955793, 0.9968, usdt, 0.9931, 0.9987, 0.9968, BUSD/USDT, SPOT, busd, 1.0, 
ethbtc, 3.8754, 0.073304, 1635955792, 0.073134, btc, 0.070683, 0.073338, 0.07282, ETH/BTC, SPOT, eth, 0.070971, 
tlmusdt, 494176.0, 0.2822, 1635955793, 0.2555, usdt, 0.246, 0.2555, 0.253, TLM/USDT, SPOT, tlm, 0.2789, 
polyusdt, 17118.0, 0.7141, 1635955792, 0.6839, usdt, 0.681, 0.6948, 0.6847, POLY/USDT, SPOT, poly, 0.707, 
zrxusdt, 14645.84, 1.3388, 1635955792, 1.2211, usdt, 1.1889, 1.222, 1.2135, ZRX/USDT, SPOT, zrx, 1.315, 
zrxinr, 393581.35, 105.75, 1635955791, 96.7, inr, 94.2, 96.69, 96.51, ZRX/INR, SPOT, zrx, 103.1, 
batusdt, 39091.83, 1.0431, 1635955792, 0.9636, usdt, 0.9451, 0.9706, 0.9642, BAT/USDT, SPOT, bat, 1.0431, 
vetinr, 7174814.0, 11.2, 1635955791, 10.71576, inr, 10.5, 10.71576, 10.66003, VET/INR, SPOT, vet, 11.133, 
runeusdt, 2116.259, 17.156, 1635955793, 15.814, usdt, 15.669, 15.886, 15.817, RUNE/USDT, SPOT, rune, 16.914, 
dockwrx, 465148.0, 0.06, 1635955793, 0.05, wrx, 0.04, 0.06, 0.05, DOCK/WRX, SPOT, dock, 0.06, 
perlusdt, 0.0, 0.0, 1635955793, 0.0, usdt, 0.0, 0.0, 0.0, PERL/USDT, SPOT, perl, 0.0, 
uniinr, 6905.27, 2125.0, 1635955791, 2042.79, inr, 2013.0, 2047.8, 2042.79, UNI/INR, SPOT, uni, 2039.0, 
sysinr, 0.0, 0.0, 1635955792, 0.0, inr, 0.0, 0.0, 0.0, SYS/INR, SPOT, sys, 0.0, 
sntusdt, 32735.0, 0.0982, 1635955792, 0.09498, usdt, 0.09134, 0.09559, 0.09239, SNT/USDT, SPOT, snt, 0.09594, 
scinr, 24184500.0, 1.7301, 1635955792, 1.617, inr, 1.57, 1.6196, 1.6157, SC/INR, SPOT, sc, 1.721, 
xmrusdt, 8.384, 276.99, 1635955792, 267.2, usdt, 266.0, 269.39, 267.2, XMR/USDT, SPOT, xmr, 272.9, 
grsusdt, 828.0, 1.1, 1635955793, 0.97, usdt, 0.9699, 0.9997, 0.9847, GRS/USDT, SPOT, grs, 1.035, 
injusdt, 1097.22, 11.373, 1635955793, 10.896, usdt, 10.738, 10.9428, 10.897, INJ/USDT, SPOT, inj, 11.258, 
chrusdt, 570375.0, 0.83697, 1635955793, 0.6536, usdt, 0.62041, 0.6536, 0.64851, CHR/USDT, SPOT, chr, 0.713, 
ncashusdt, 15256108.0, 0.004244, 1635955792, 0.003744, usdt, 0.0036, 0.003745, 0.003744, NCASH/USDT, SPOT, ncash, 0.004244, 
dydxusdt, 1695.47, 16.8, 1635955793, 16.176, usdt, 15.513, 16.176, 16.117, DYDX/USDT, SPOT, dydx, 16.421, 
manausdt, 120714.2, 3.22, 1635955792, 2.873, usdt, 2.74, 2.87299, 2.8448, MANA/USDT, SPOT, mana, 3.05, 
btsusdt, 301719.0, 0.05636, 1635955793, 0.05264, usdt, 0.05207, 0.05305, 0.05266, BTS/USDT, SPOT, bts, 0.05336, 
etcusdt, 1177.78, 56.99, 1635955792, 54.2685, usdt, 53.2, 54.26, 53.97, ETC/USDT, SPOT, etc, 54.85, 
mdxinr, 1426581.92, 90.0, 1635955792, 84.96, inr, 82.0, 84.99, 84.95, MDX/INR, SPOT, mdx, 82.97, 
slpinr, 0.0, 0.0, 1635955792, 0.0, inr, 0.0, 0.0, 0.0, SLP/INR, SPOT, slp, 0.0, 
maticinr, 3020294.5, 168.416, 1635955791, 159.158, inr, 149.011, 159.2, 159.101, MATIC/INR, SPOT, matic, 150.986, 
reninr, 243027.2, 80.31, 1635955791, 78.07, inr, 76.81, 78.07, 77.81, REN/INR, SPOT, ren, 80.25, 
swrvusdt, 0.0, 0.0, 1635955793, 0.0, usdt, 0.0, 0.0, 0.0, SWRV/USDT, SPOT, swrv, 0.0, 
icpinr, 16058.59, 3800.0, 1635955792, 3635.73, inr, 3555.0, 3639.98, 3635.72, ICP/INR, SPOT, icp, 3710.0, 
dydxinr, 0.0, 0.0, 1635955792, 0.0, inr, 0.0, 0.0, 0.0, DYDX/INR, SPOT, dydx, 0.0, 
xlmusdt, 554121.6, 0.405, 1635955792, 0.37818, usdt, 0.3699, 0.37818, 0.37611, XLM/USDT, SPOT, xlm, 0.3718, 
cosusdt, 758357.2, 0.0208, 1635955793, 0.0201, usdt, 0.01973, 0.02016, 0.02001, COS/USDT, SPOT, cos, 0.02075, 
rlcinr, 448123.8, 572.6, 1635955792, 399.99, inr, 373.06, 399.0, 395.06, RLC/INR, SPOT, rlc, 401.0, 
fetbtc, 5142.0, 0.00001551, 1635955792, 0.00001504, btc, 0.00001267, 0.00001484, 0.00001464, FET/BTC, SPOT, fet, 0.00001269, 
xvginr, 14061111.0, 2.0012, 1635955792, 1.9102, inr, 1.872, 1.9105, 1.9102, XVG/INR, SPOT, xvg, 1.972, 
adxusdt, 24195.0, 0.8875, 1635955793, 0.816, usdt, 0.8005, 0.818, 0.8084, ADX/USDT, SPOT, adx, 0.8729, 
